상품코드,개수: 오더번호,합계: pcs출하,zone 할당
C012510,3704,8001,1.0
G003888,2934,5387,2.0
H001240,1856,3684,3.0
G003811,1444,3552,5.0
G003962,1330,2985,4.0
C012363,1229,1824,4.0
C012366,1169,1865,5.0
C012365,1109,1680,3.0
C012367,1058,1872,2.0
C012362,1031,1513,1.0
G002669,1018,2745,1.0
G003785,1015,2709,2.0
G003885,1012,1721,3.0
E001384,982,7803,5.0
E001385,866,6540,4.0
P001401,862,1416,3.0
E001403,854,1278,3.0
C012509,795,1895,2.0
G003961,756,1001,5.0
B003709,751,2902,3.0
P001402,730,1378,4.0
G003960,720,970,5.0
G001147,705,1106,2.0
E001465,665,1420,4.0
H001324,608,3461,3.0
G003876,587,1925,4.0
H001326,586,728,5.0
G003809,568,1104,4.0
H001319,566,3193,2.0
H001322,533,598,3.0
E001477,529,1010,1.0
G001148,520,813,1.0
G003963,514,677,1.0
C012463,478,929,5.0
C012546,472,1681,1.0
E001478,432,2622,4.0
H001239,426,1668,2.0
G003887,424,1163,5.0
C012360,421,11440,5.0
G003932,417,1751,4.0
C012085,408,626,1.0
F014192,407,894,4.0
C012541,404,1046,1.0
C012424,404,1096,3.0
E001474,403,559,4.0
V000049,394,1072,2.0
C012428,390,780,1.0
C012413,366,519,1.0
C012157,349,1230,3.0
G003924,345,623,4.0
H001287,335,1130,4.0
H001338,334,3598,3.0
E001475,332,455,4.0
S004428,331,1648,5.0
G003951,330,897,1.0
S004418,325,2032,1.0
E001371,319,320,3.0
H001310,318,1096,5.0
S004426,314,2063,5.0
C012416,308,532,5.0
F014194,307,601,4.0
H001289,305,1374,4.0
C012211,302,674,4.0
H001332,301,1720,4.0
C012482,301,859,2.0
G002531,300,2063,1.0
P001422,298,871,2.0
C012464,296,573,2.0
S004420,295,1429,1.0
H001316,290,2612,2.0
P001421,288,840,5.0
C012192,279,420,1.0
C012412,278,405,3.0
F014193,277,558,4.0
C012335,277,524,2.0
C012523,276,875,3.0
S004627,275,1030,3.0
H001259,273,949,5.0
C012461,267,447,2.0
G003959,263,403,5.0
S004422,263,2355,3.0
C012334,262,1355,5.0
H001323,259,635,5.0
C012340,255,352,2.0
C012647,255,779,3.0
C012426,253,401,5.0
C012172,249,374,5.0
C012333,248,1222,3.0
G002398,247,383,1.0
H001342,244,1000,5.0
P001420,241,799,2.0
H001286,235,854,2.0
C012196,234,647,3.0
H001327,234,1125,2.0
H001279,233,1027,5.0
C011331,233,456,2.0
C012065,231,498,4.0
E001476,229,573,2.0
H001321,222,718,1.0
C012171,221,305,4.0
G003912,217,372,4.0
C012498,214,1252,5.0
H001283,213,966,3.0
E001382,213,300,5.0
C011352,213,758,4.0
D000001,208,585,4.0
C012134,205,337,3.0
G003941,205,443,2.0
C011552,204,427,2.0
F014195,203,353,1.0
C012142,202,324,2.0
H001341,199,2270,1.0
