Sku Code,개수: 오더번호,합계: pcs출하,zone 할당
W00160,297,391,0
W00510,288,418,0
W00801,234,387,0
W90873,184,265,0
W00111,178,243,0
W00631,171,247,0
W00601,169,222,0
W00531,162,274,0
W00511,158,265,0
W00975,149,214,0
W00321,146,188,0
W00861,139,213,0
W00521,128,186,0
W00121,126,155,0
W00276,121,185,0
W00681,121,147,0
W00227,118,129,0
W00641,116,165,0
W90673,111,214,0
W00179,107,130,0
W00174,105,122,0
W00661,101,134,0
W90189,99,489,0
W00828,97,119,0
W90672,90,146,0
W00196,88,104,0
W00554,85,153,0
W00281,84,118,0
W00190,80,94,0
W00266,75,86,0
W00109,70,87,0
W90574,69,154,0
W00755,69,81,0
W00541,68,105,0
W00564,68,110,0
W90943,68,224,0
W00311,67,85,0
W00271,65,105,0
W00178,65,83,0
W00261,63,108,0
W00691,62,71,0
W00835,61,99,0
W00483,60,74,0
W00620,60,74,0
W00756,59,70,0
W00192,58,75,0
W90879,58,95,0
W00291,57,79,0
W00217,57,61,0
W00973,54,73,0
W90946,53,181,0
W90671,53,81,0
W00173,53,66,0
W90908,52,73,0
W00517,51,58,0
W00971,51,56,0
W00247,50,51,0
W00331,48,68,0
W90174,47,62,0
W00460,46,78,0
W02406,45,219,0
W00198,43,51,0
W00289,42,48,0
W00465,41,70,0
W00545,41,47,0
W00257,40,43,0
W90801,39,71,0
W90927,39,49,0
W92018,38,53,0
W00542,37,48,0
W00177,36,41,0
W01997,36,50,0
W00871,35,41,0
W00694,35,38,0
W00529,35,39,0
W00267,34,36,0
W00836,32,41,0
W90906,31,52,0
W00474,30,33,0
W00237,29,31,0
W01994,28,42,0
W00194,27,28,0
W01995,27,34,0
W01525,26,26,0
W00288,24,25,0
W00666,24,28,0
W00528,24,29,0
W00351,23,26,0
W00170,23,71,0
W01235,22,28,0
W00776,21,23,0
W90941,20,41,0
W00965,20,21,0
W01527,20,21,0
W00982,20,22,0
W01999,20,26,0
W00482,20,23,0
W00180,20,21,0
W00696,19,23,0
W00481,19,21,0
W00834,19,24,0
W00396,18,24,0
W00682,18,21,0
W00466,18,19,0
W01416,17,29,0
W90955,17,34,0
W01404,17,22,0
W00471,17,26,0
W00467,17,21,0
W00472,16,18,0
W00779,15,16,0
W90825,15,22,0
W01528,14,14,0
W92619,14,42,0
W01422,14,17,0
W00473,13,14,0
W00778,13,15,0
W90824,13,28,0
W02618,13,32,0
W01529,12,12,0
W00207,12,12,0
W00183,12,12,0
W00003,12,12,0
W00777,12,12,0
W00749,12,12,0
W70765,11,12,0
W00667,11,11,0
W00490,11,11,0
W90813,10,21,0
W00549,10,11,0
W00485,8,8,0
W90821,8,15,0
W90812,8,11,0
W00839,7,8,0
W00766,6,6,0
W90548,6,6,0
W02404,6,21,0
W00649,6,6,0
W00746,5,5,0
W01398,5,5,0
W92472,5,5,0
W90822,5,6,0
W00447,5,5,0
W00657,4,5,0
W92675,4,9,0
W01812,4,5,0
W00769,4,4,0
W01405,4,4,0
W00767,3,3,0
W90915,3,3,0
W00463,2,3,0
W90814,2,2,0
W90880,2,2,0
W00462,2,2,0
W02704,2,2,0
W02705,1,1,0
W02431,1,1,0
W00301,327,532,PLT
W00501,401,545,PLT
W90878,503,1484,PLT
W00591,309,451,PLT
