상품코드,개수: 오더번호,합계: pcs출하,zone 할당
C012510,3704,8001,0.0
G003888,2934,5387,0.0
H001240,1856,3684,0.0
G003811,1444,3552,0.0
G003962,1330,2985,0.0
C012363,1229,1824,0.0
C012366,1169,1865,0.0
C012365,1109,1680,0.0
C012367,1058,1872,0.0
C012362,1031,1513,0.0
G002669,1018,2745,0.0
G003785,1015,2709,0.0
G003885,1012,1721,0.0
E001384,982,7803,0.0
E001385,866,6540,0.0
P001401,862,1416,0.0
E001403,854,1278,0.0
C012509,795,1895,0.0
G003961,756,1001,0.0
B003709,751,2902,0.0
P001402,730,1378,0.0
G003960,720,970,0.0
G001147,705,1106,0.0
E001465,665,1420,0.0
H001324,608,3461,0.0
G003876,587,1925,0.0
H001326,586,728,0.0
G003809,568,1104,0.0
H001319,566,3193,0.0
H001322,533,598,0.0
E001477,529,1010,0.0
G001148,520,813,0.0
G003963,514,677,0.0
C012463,478,929,0.0
C012546,472,1681,0.0
E001478,432,2622,0.0
H001239,426,1668,0.0
G003887,424,1163,0.0
C012360,421,11440,0.0
G003932,417,1751,0.0
C012085,408,626,0.0
F014192,407,894,0.0
C012541,404,1046,0.0
C012424,404,1096,0.0
E001474,403,559,0.0
V000049,394,1072,0.0
C012428,390,780,0.0
C012413,366,519,0.0
C012157,349,1230,0.0
G003924,345,623,0.0
H001287,335,1130,0.0
H001338,334,3598,0.0
E001475,332,455,0.0
S004428,331,1648,0.0
G003951,330,897,0.0
S004418,325,2032,0.0
E001371,319,320,0.0
H001310,318,1096,0.0
S004426,314,2063,0.0
C012416,308,532,0.0
F014194,307,601,0.0
H001289,305,1374,0.0
C012211,302,674,0.0
H001332,301,1720,0.0
C012482,301,859,0.0
G002531,300,2063,0.0
P001422,298,871,0.0
C012464,296,573,0.0
S004420,295,1429,0.0
H001316,290,2612,0.0
P001421,288,840,0.0
C012192,279,420,0.0
C012412,278,405,0.0
F014193,277,558,0.0
C012335,277,524,0.0
C012523,276,875,0.0
S004627,275,1030,0.0
H001259,273,949,0.0
C012461,267,447,0.0
G003959,263,403,0.0
S004422,263,2355,0.0
C012334,262,1355,0.0
H001323,259,635,0.0
C012340,255,352,0.0
C012647,255,779,0.0
C012426,253,401,0.0
C012172,249,374,0.0
C012333,248,1222,0.0
G002398,247,383,0.0
H001342,244,1000,0.0
P001420,241,799,0.0
H001286,235,854,0.0
C012196,234,647,0.0
H001327,234,1125,0.0
H001279,233,1027,0.0
C011331,233,456,0.0
C012065,231,498,0.0
E001476,229,573,0.0
H001321,222,718,0.0
C012171,221,305,0.0
G003912,217,372,0.0
C012498,214,1252,0.0
H001283,213,966,0.0
E001382,213,300,0.0
C011352,213,758,0.0
D000001,208,585,0.0
C012134,205,337,0.0
G003941,205,443,0.0
C011552,204,427,0.0
F014195,203,353,0.0
C012142,202,324,0.0
H001341,199,2270,0.0
